msno,date,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs
V6en0Ehh1oPY7AK4SJwX0DJL1UNcd6ZMF2PKytq8NrA=,20150701,142,39,19,2,7,184,10303.9480
V6en0Ehh1oPY7AK4SJwX0DJL1UNcd6ZMF2PKytq8NrA=,20150821,47,3,5,2,7,61,3486.3020
V6en0Ehh1oPY7AK4SJwX0DJL1UNcd6ZMF2PKytq8NrA=,20151012,28,16,7,2,35,47,10313.5250
V6en0Ehh1oPY7AK4SJwX0DJL1UNcd6ZMF2PKytq8NrA=,20151201,5,4,2,1,2,14,1241.2200
V6en0Ehh1oPY7AK4SJwX0DJL1UNcd6ZMF2PKytq8NrA=,20160121,8,3,2,0,22,35,6343.3980
V6en0Ehh1oPY7AK4SJwX0DJL1UNcd6ZMF2PKytq8NrA=,20160312,25,8,2,2,58,74,16893.6900
V6en0Ehh1oPY7AK4SJwX0DJL1UNcd6ZMF2PKytq8NrA=,20160501,2,3,0,1,13,14,3998.6350
V6en0Ehh1oPY7AK4SJwX0DJL1UNcd6ZMF2PKytq8NrA=,20160627,3,1,1,1,24,30,6777.9610
V6en0Ehh1oPY7AK4SJwX0DJL1UNcd6ZMF2PKytq8NrA=,20160822,2,0,1,0,10,12,2734.0750
V6en0Ehh1oPY7AK4SJwX0DJL1UNcd6ZMF2PKytq8NrA=,20161020,16,1,1,0,22,27,6020.9360
V6en0Ehh1oPY7AK4SJwX0DJL1UNcd6ZMF2PKytq8NrA=,20161210,7,2,0,2,32,41,8965.3970
V6en0Ehh1oPY7AK4SJwX0DJL1UNcd6ZMF2PKytq8NrA=,20170131,3,5,1,0,6,14,1931.6080
